Crop,Sowing_Start,Sowing_End,Growth_Duration_Days,Stage,Start_Day,End_Day,Stage_Action
Rice,June,July,120,Sowing,0,0,Sow when soil moisture and weather conditions are suitable.
Rice,June,July,120,Establishment,1,20,"Monitor germination, water conditions and early weed growth."
Rice,June,July,120,Vegetative Growth,21,50,"Monitor crop growth, nutrients and weeds."
Rice,June,July,120,Flowering,51,75,Monitor water availability and crop health.
Rice,June,July,120,Grain Filling,76,100,Monitor moisture and grain development.
Rice,June,July,120,Maturity,101,120,Monitor maturity and prepare for harvest.
Wheat,October,December,120,Sowing,0,0,Sow when soil and weather conditions are suitable.
Wheat,October,December,120,Establishment,1,20,Monitor germination and early weed growth.
Wheat,October,December,120,Vegetative Growth,21,55,"Monitor crop growth, nutrients and moisture."
Wheat,October,December,120,Flowering,56,80,Monitor crop health and moisture.
Wheat,October,December,120,Grain Filling,81,105,Monitor grain development and crop moisture.
Wheat,October,December,120,Maturity,106,120,Monitor maturity and prepare for harvest.
Maize,June,July,120,Sowing,0,0,Sow when soil and weather conditions are suitable.
Maize,June,July,120,Early Growth,1,20,"Monitor germination, soil moisture and early weed growth."
Maize,June,July,120,Vegetative Growth,21,40,Monitor crop growth and nutrient requirements.
Maize,June,July,120,Flowering,41,60,"Monitor moisture, nutrient status and pest risk."
Maize,June,July,120,Grain Development,61,90,Maintain appropriate soil moisture and monitor crop health.
Maize,June,July,120,Maturity,91,120,Monitor crop maturity and prepare for harvesting.
Chickpea,October,November,120,Sowing,0,0,Sow when soil and weather conditions are suitable.
Chickpea,October,November,120,Establishment,1,20,Monitor germination and soil moisture.
Chickpea,October,November,120,Vegetative Growth,21,45,Monitor crop growth and nutrient status.
Chickpea,October,November,120,Flowering,46,70,Monitor flowering and moisture conditions.
Chickpea,October,November,120,Pod Development,71,100,Monitor pod development and pest risk.
Chickpea,October,November,120,Maturity,101,120,Monitor maturity and prepare for harvest.
Pigeon Pea,June,July,150,Sowing,0,0,Sow when rainfall and soil conditions are suitable.
Pigeon Pea,June,July,150,Establishment,1,25,Monitor germination and plant population.
Pigeon Pea,June,July,150,Vegetative Growth,26,60,"Monitor growth, weeds and nutrient status."
Pigeon Pea,June,July,150,Flowering,61,100,"Monitor flowering, moisture and pest risk."
Pigeon Pea,June,July,150,Pod Development,101,130,Monitor pod development and crop health.
